Timestamp,Please select an age Group:,Sex:,Do you pay attention to online advertisements?,Have you ever bought a product seeing online advertisements?,How often do you click advertisements seen in social media platforms?,What type of advertisements would you be tempted to click?,Do you think advertisements are personalized according to your previous searches?,Have you ever been tricked into clicking advertisements?,"If yes then, after being tricked, what did you decide to do?",How much influence do you think online advertisements have over your buying behavior?,Which online advertisement is the most influential on your buying behavior?,What do you think are the advantages of online advertisements?,What do think are the disadvantages of online advertisements?,"Overall, do you think online advertisements have a positive or negative impact on your browsing experience?",What do you think is the most important to draw your attention towards an online advertisement?
4/15/2022 13:03:11,30 to 35 years,Male,Sometimes,Yes,Rarely,Offers and Discounts,Yes,No,Never been tricked,Partly influence,Facebook ads,Creates personalized experience,Manipulates you to buy products,Negative impact,Information seen in the ad
4/15/2022 13:05:48,25 to 30 years,Male,Often,Yes,Rarely,Fascinating products,Yes,Yes,Didn’t buy the product,High influence,Instagram ads,Creates personalized experience,Privacy concerns,Positive impact,Visual design
4/15/2022 13:09:04,25 to 30 years,Female,Rarely,Yes,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,High influence,Instagram ads,Saves time,Distractive,Negative impact,Visual design
4/15/2022 13:13:47,25 to 30 years,Male,Sometimes,Yes,Sometimes,Fascinating products,Yes,No,Didn’t buy the product,Partly influence,Youtube ads,Saves time,Not true to claims,Positive impact,Visual design
4/15/2022 13:39:57,30 to 35 years,Male,Sometimes,Yes,Sometimes,Relevant ads,No,Yes,Didn’t buy the product,Partly influence,Facebook ads,Informative,Manipulates you to buy products,Negative impact,Visual design
4/15/2022 13:40:21,25 to 30 years,Female,Rarely,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,High influence,Youtube ads,Helps in comparison shopping,Manipulates you to buy products,Positive impact,Visual design
4/15/2022 13:43:27,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,No,Never been tricked,Partly influence,Instagram ads,Saves time,Privacy concerns,Positive impact,Information seen in the ad
4/15/2022 13:48:22,20 to 25 years,Male,Rarely,Yes,Sometimes,Fascinating products,No,Yes,Didn’t buy the product,High influence,Youtube ads,Creates personalized experience,Manipulates you to buy products,Positive impact,Visual design
4/15/2022 13:49:02,20 to 25 years,Male,Sometimes,No,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,High influence,Youtube ads,Helps in comparison shopping,Distractive,Negative impact,Information seen in the ad
4/15/2022 13:55:18,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,No,Never been tricked,Partly influence,Instagram ads,Creates personalized experience,Manipulates you to buy products,Negative impact,Information seen in the ad
4/15/2022 13:56:37,25 to 30 years,Male,Never,No,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,No influence,Facebook ads,Informative,Distractive,Negative impact,The product itself
4/15/2022 13:59:38,25 to 30 years,Male,Rarely,Yes,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,Less influence,Youtube ads,Creates personalized experience,Distractive,Negative impact,Visual design
4/15/2022 14:15:40,30 to 35 years,Male,Never,No,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,Less influence,Youtube ads,Helps in comparison shopping,Manipulates you to buy products,Negative impact,Information seen in the ad
4/15/2022 14:17:23,25 to 30 years,Female,Sometimes,Yes,Rarely,Offers and Discounts,Yes,No,Never been tricked,Partly influence,Instagram ads,Creates personalized experience,Manipulates you to buy products,Negative impact,Information seen in the ad
4/15/2022 14:46:40,15 to 20 years,Female,Sometimes,Yes,Rarely,Relevant ads,Yes,Yes,Didn’t buy the product,Less influence,Instagram ads,Creates personalized experience,Distractive,Positive impact,The product itself
4/15/2022 14:48:38,20 to 25 years,Female,Sometimes,No,Rarely,Offers and Discounts,Yes,No,Never been tricked,No influence,Youtube ads,Helps in comparison shopping,Manipulates you to buy products,Negative impact,Information seen in the ad
4/15/2022 14:51:51,35 years and above,Male,Often,Yes,Sometimes,Relevant ads,Yes,Yes,Didn’t buy the product,Partly influence,Facebook ads,Creates personalized experience,Distractive,Positive impact,Visual design
4/15/2022 14:53:54,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Never been tricked,High influence,Instagram ads,Saves time,Manipulates you to buy products,Negative impact,The product itself
4/15/2022 14:55:22,20 to 25 years,Female,Rarely,Yes,Rarely,Fascinating products,No,No,Never been tricked,Less influence,Instagram ads,Helps in comparison shopping,Not true to claims,Positive impact,Visual design
4/15/2022 15:05:50,35 years and above,Prefer not to say,Rarely,No,Rarely,Relevant ads,No,No,Never been tricked,Less influence,Facebook ads,Helps in comparison shopping,Privacy concerns,Negative impact,The product itself
4/15/2022 15:14:20,15 to 20 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Bought the product,Partly influence,Youtube ads,Creates personalized experience,Manipulates you to buy products,Negative impact,Visual design
4/15/2022 15:16:44,15 to 20 years,Female,Rarely,No,Never,Fascinating products,Yes,No,Never been tricked,No influence,Youtube ads,Creates personalized experience,Not true to claims,Negative impact,Relevance of the ad
4/15/2022 15:20:56,20 to 25 years,Female,Sometimes,No,Sometimes,Fascinating products,Yes,No,Never been tricked,Less influence,Instagram ads,Informative,Distractive,Negative impact,The product itself
4/15/2022 15:25:53,15 to 20 years,Female,Often,Yes,Sometimes,Offers and Discounts,Yes,No,Never been tricked,High influence,Youtube ads,Informative,Distractive,Positive impact,The product itself
4/15/2022 15:29:29,25 to 30 years,Male,Rarely,No,Never,Relevant ads,Yes,No,Never been tricked,High influence,Youtube ads,Informative,Not true to claims,Positive impact,Visual design
4/15/2022 15:38:45,15 to 20 years,Female,Sometimes,Yes,Often,Offers and Discounts,Yes,Yes,Didn’t buy the product,Partly influence,Instagram ads,Helps in comparison shopping,Manipulates you to buy products,Positive impact,Visual design
4/15/2022 15:43:51,30 to 35 years,Male,Sometimes,Yes,Sometimes,Relevant ads,Yes,Yes,Didn’t buy the product,High influence,Facebook ads,Creates personalized experience,Privacy concerns,Negative impact,Information seen in the ad
4/15/2022 15:47:24,20 to 25 years,Male,Sometimes,No,Never,Relevant ads,Yes,Yes,Didn’t buy the product,Less influence,Google ads,I find it annoying ,Distractive,Negative impact,The product itself
4/15/2022 15:47:38,20 to 25 years,Female,Sometimes,No,,Relevant ads,Yes,No,Never been tricked,Partly influence,Youtube ads,Informative,Distractive,Positive impact,Visual design
4/15/2022 15:48:10,15 to 20 years,Female,Never,No,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,Less influence,Facebook ads,Creates personalized experience,Distractive,Negative impact,Visual design
4/15/2022 15:56:54,20 to 25 years,Female,Rarely,No,Never,Relevant ads,Yes,Yes,Didn’t buy the product,Less influence,Google ads,Creates personalized experience,Privacy concerns,Negative impact,Visual design
4/15/2022 16:10:33,20 to 25 years,Female,Rarely,Yes,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,High influence,Instagram ads,Creates personalized experience,Privacy concerns,Negative impact,Visual design
4/15/2022 16:14:03,25 to 30 years,Male,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Bought the product,Partly influence,Youtube ads,Helps in comparison shopping,Distractive,Positive impact,Visual design
4/15/2022 16:14:57,25 to 30 years,Male,Rarely,Yes,Sometimes,Offers and Discounts,Yes,No,Didn’t buy the product,Less influence,Facebook ads,Helps in comparison shopping,Not true to claims,Negative impact,Information seen in the ad
4/15/2022 16:57:13,20 to 25 years,Female,Sometimes,Yes,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,Partly influence,Instagram ads,Creates personalized experience,Manipulates you to buy products,Positive impact,Visual design
4/15/2022 17:01:43,20 to 25 years,Male,Sometimes,Yes,Rarely,Offers and Discounts,Yes,No,Didn’t buy the product,Less influence,Instagram ads,Creates personalized experience,Not true to claims,Positive impact,Information seen in the ad
4/15/2022 17:23:56,15 to 20 years,Female,Rarely,No,Rarely,Relevant ads,Yes,No,Never been tricked,Less influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,Information seen in the ad
4/15/2022 17:24:01,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,Partly influence,Instagram ads,Helps in comparison shopping,Not true to claims,Positive impact,The product itself
4/15/2022 17:30:34,35 years and above,Male,Often,Yes,Often,Relevant ads,Yes,Yes,Bought the product,High influence,Google ads,Saves time,Distractive,Positive impact,Visual design
4/15/2022 17:37:50,35 years and above,Male,Often,Yes,Often,Fascinating products,Yes,No,Didn’t buy the product,High influence,Google ads,Saves time,Manipulates you to buy products,Positive impact,Visual design
4/15/2022 17:42:49,15 to 20 years,Female,Sometimes,No,Sometimes,Offers and Discounts,Yes,No,Never been tricked,Less influence,Instagram ads,Creates personalized experience,Manipulates you to buy products,Positive impact,Visual design
